date,pipe_31,pipe_15,pipe_11,pipe_32,pipe_25,pipe_00,pipe_02,pipe_01,pipe_105,pipe_300
5/17/2017,175.4477077,4.0192995,1108,1373.79552,1146.745836,361.6823793,1371.845433,703.7178218,730.9624573,852.7751938
5/18/2017,176.9427374,4.703081232,1108,1394.351931,1152.543994,NA,NA,706.7288609,NA,852.0328671
5/19/2017,178.5584416,9.641464855,1108,1417.345702,1146.641632,419.3215477,1371.000646,710.1816079,731.9851325,850.5159236
5/20/2017,180.3076358,15.19487179,1107.999263,1439.702226,1141.896831,437.647319,1371,713.6061254,732.1405229,850.0576102
5/21/2017,181.8407821,18.7527933,1108,1464.330269,1130.419916,457.8915989,1370.985003,717.0529617,732.9806538,852.2192737
5/22/2017,183.3822606,21.18095987,1107.999213,1485.364888,1124.183472,472.7754293,1370.780457,720.3887657,733.151875,857.1342183
5/23/2017,185.1192469,23.06908583,1108,1093.774403,1115.061324,487.0914489,1370.107607,723.8076923,733.9993954,863.9391608
5/24/2017,186.7280822,24.066803,1107.23989,284.7491265,1150.130732,499.3553812,1370.001117,727.3357909,734.4988889,867.6161074
5/25/2017,188.3317073,24.88547486,1107.995108,321.0098384,1173.596932,508.5203473,1369.99789,730.5746165,734.9916797,867.5718271
5/26/2017,189.9567643,25,1108,357.123741,1168.771269,511.9663957,1369.959359,734.0503497,735.4382955,865.9664101
5/27/2017,191.5927247,25,1108,391.7688331,1178.152738,512.3530099,1369.775991,737.4805654,736.0021529,859.6389281
5/28/2017,193.2942817,25,1108,426.3352643,1172.653417,513,1369.108878,740.7660615,736.6035242,856.1055944
5/29/2017,194.6757512,25,1107.985335,461.1598046,1165.055206,513,1368.219053,744.0364146,737,856.5840893
5/30/2017,196.277739,25,1107.958856,495.3645461,1176.637063,513.1933767,1368.973404,747.3549965,737.3061459,855.3016095
5/31/2017,197.8983536,25,1107.992154,528.8600583,1359.496774,513.9944819,1368.870525,750.7591808,738.0047031,854.106338
6/1/2017,199.5644599,25,1107.997908,563.1504237,2412.220445,514.0156794,1368.403778,754.1671329,738.6128845,854.150838
6/2/2017,200.9238827,24.94568245,1107.990922,597.8821859,2321.069735,514.4906868,1368.017919,757.4120112,739.0005643,852.754717
6/3/2017,202.4595537,24.53175157,1107.981856,635.581295,241.5759053,514.9954571,1368,760.6566434,739.6035987,852.9930119
6/4/2017,203.9203354,24.01535241,1107.973464,668.9892396,77.41254355,515,1368,763.974144,740.0011635,853.1684137
6/5/2017,205.4434229,23.95167022,1107.951977,702.0629471,627.2280084,510.6168792,1367.963341,767.3072034,740.514828,853.9915314
6/6/2017,206.9770817,23.08742331,1107.959969,736.6225564,763.4259955,531.6549296,1367.510373,770.6721664,741.0034823,854.4816942
6/7/2017,208.4725979,22.9978602,1107.987866,768.9672012,802.9656652,524.1421477,1367.017733,774.122708,741.6887087,855.7026836
6/8/2017,209.9679219,22.36967156,1108,801.3848355,821.8871866,520.6676368,1367,777.4547354,742.0993718,860.3857939
6/9/2017,211.3774373,22.00069686,1107.968641,833.1071429,821.8401954,545.8933889,1366.972586,780.6457462,742.9002334,864.4340544
6/10/2017,212.5850767,21.50034892,1107.975524,865.3435754,808.6764296,583.6210462,1366.68,783.91777,743.0196312,865.1698113
6/11/2017,214.4535637,21.011486,1107.995665,896.897474,782.3816739,579.4500756,1366.242779,787.2969525,743.8594225,863.8887314
6/12/2017,215.9951049,21.00349162,1108,928.8741959,752.9351464,571.9702063,1366.079639,790.6032078,744.6608059,868.0495464
6/13/2017,217.5456446,20.65828092,1108,960.9180098,724.8230769,565.8309211,1366,793.7723464,745,867.9797909
6/14/2017,218.8300699,20.07048151,1108,992.8579505,701.6129707,560.4275457,1365.990814,797.0940767,745.5167526,864.5893483
6/15/2017,220.2830725,20.5170697,1107.997859,1024.235645,682.1261582,555.2154321,1365.272164,800.3204225,746,864.8981026
6/16/2017,221.8744222,20,1107.996136,1057.30276,665.2891288,549.6889415,1365,803.7324263,746.5769231,871.4261923
